h_code,x,y,z,no
1111051500,1.83299521,-0.837518423,-0.407652702,0
1111053000,4.696598544,1.399603573,-3.122918792,0
1111054000,0.657116357,0.180204711,-1.809950553,1
1111055000,0.882354192,-1.053278943,-0.378343328,0
1111056000,1.270245609,-0.21522105,-1.047165129,0
1111057000,1.648141507,-0.432402441,-1.076199006,0
1111058000,2.119321732,-1.104069474,-0.910014788,0
1111060000,1.48993605,-0.600449614,-1.322479497,0
1111061500,1.194186976,1.213471333,2.20870676,3
1111063000,-3.561496157,1.340529943,1.412648946,4
1111064000,0.120186392,-2.290254515,0.743933167,2
1111065000,0.01466889,0.010832475,0.565663992,1
1111067000,-3.55512719,0.962880018,-0.778236661,4
1111068000,-2.629646378,0.138428087,-0.767843161,4
1111069000,-0.870567775,-0.463986843,-0.774238363,1
1111070000,-0.70499229,-1.7224673,-0.227598617,2
1111071000,-2.507778065,0.273600937,-0.018680351,4
1114052000,-0.343534714,0.826749177,1.779682887,1
1114054000,-3.341840904,2.110684907,2.132376717,4
1114055000,1.852183144,-3.066507058,2.345558974,0
1114057000,-3.494442624,0.302948135,0.490582223,4
1114058000,-1.634840087,0.820194103,-0.167287411,1
1114059000,-2.181669738,1.02259254,1.807308722,4
1114060500,-2.291667733,-2.195890903,0.692617542,2
1114061500,-1.15772212,0.679433663,2.720169896,4
1114062500,0.0344848,0.096657044,-0.55754986,1
1114063500,0.902871292,-1.422521415,-0.481526762,0
1114064500,0.790805861,-1.101803309,-0.58510352,0
1114065000,0.410582618,0.003909027,-0.641901947,1
1114066500,0.594577509,-0.009316441,-0.842733888,1
1114067000,1.160914566,-0.776074417,-0.159874338,0
1114068000,-0.409081424,1.226206524,-0.945780102,1
1117051000,0.026942064,-0.554376167,-0.376573838,1
1117052000,-0.816492301,-1.270204474,0.130007505,2
1117053000,-0.132963027,-2.417083706,0.008040362,2
1117055500,0.087472371,-1.518648541,-0.032757131,2
1117056000,0.977372641,0.456272522,-0.405804336,0
1117057000,1.504778674,-1.039707913,-0.905868159,0
1117058000,1.69621402,0.149597202,-1.100474631,0
1117059000,0.152714054,-0.650488378,-0.33548149,1
1117062500,1.021351647,0.42618073,0.39203043,0
1117063000,0.940538276,-0.869213229,0.239408754,0
1117064000,0.819320554,-0.929148736,-1.214387832,0
1117065000,0.80936916,0.705677986,-0.025821087,0
1117066000,1.946159682,-0.37259862,-0.754182646,0
1117068500,0.49722565,0.803755607,1.181032248,1
1117069000,0.12641973,-0.187720421,-0.229837794,1
1117070000,-1.27050667,0.267130811,-0.24008622,1
1120052000,0.436040042,-0.056757257,-0.430120983,1
1120053500,1.65115739,-0.225694942,0.072781389,0
1120054000,-0.53584493,0.654833359,-0.380351,1
1120055000,-1.949575032,0.877133194,1.059116772,4
1120056000,0.728121659,0.030261971,-0.261680344,0
1120057000,1.250033541,-0.730009515,-0.515316746,0
1120058000,1.087553031,-1.041930518,-0.472813806,0
1120059000,0.692948945,-0.393017848,-0.672366081,1
1120061500,0.973590383,-0.522700795,-0.423065477,0
1120062000,1.202334356,-0.526528936,-0.825107529,0
1120064500,1.775984674,-0.814315641,-0.232125169,0
1120065000,-0.580387913,1.946877034,-1.218622964,1
1120066000,-0.552505365,0.337630225,-0.015007315,1
1120067000,-2.271207411,1.893535076,-0.692481743,4
1120069000,-1.464696855,1.681044292,-0.099398991,1
1120072000,-2.223989561,1.796008335,-1.398700624,4
1120079000,-2.335737434,1.271067687,-0.445900614,4
1121571000,1.477431228,-0.236326807,2.517098592,3
1121573000,-0.659645391,1.090442907,0.482230463,1
1121574000,-0.555407367,-0.823985812,0.641101697,2
1121575000,1.053176425,-1.425113499,0.886216819,0
1121576000,-0.914173895,0.022689517,-0.32623151,1
1121577000,-1.133713912,-0.119265655,0.535361856,4
1121578000,2.21064476,-1.299202356,0.229693731,0
1121581000,1.655105984,2.378209967,-0.662364872,0
1121582000,0.590290916,0.348237613,-0.310048724,0
1121583000,0.258620575,0.720326181,-0.72159978,0
1121584000,0.94725223,0.610936579,0.675733524,0
1121584700,-0.821798823,0.879179987,0.087130827,1
1121585000,1.774854424,0.185001877,0.150126379,0
1121586000,0.541669994,0.306753058,0.017607764,0
1121587000,1.826204407,-0.186284655,0.273562945,0
1123053600,-2.499254934,-0.053302405,1.035191601,4
1123054500,-2.090476966,1.23211176,0.953095638,4
1123056000,-1.080954765,1.806287939,0.85944736,1
1123057000,-0.988201701,-0.954608105,-0.090376463,2
1123060000,0.202813837,0.380154483,-0.225886027,0
1123061000,0.304416165,-0.591002078,-0.28401425,1
1123065000,-0.659322841,0.717502727,0.705783827,1
1123066000,-0.753231771,1.585981431,0.809206166,1
1123070500,-1.694021076,-0.816468253,-0.249438999,4
1123071000,0.646652779,-0.814802142,0.688600204,0
1123072000,-0.005820823,-0.181514005,0.342122196,1
1123073000,-1.451251816,-0.215896537,0.267469329,4
1123074000,-1.460978725,0.732443879,0.620123411,1
1123075000,-0.157956724,-1.196100072,-0.118752267,2
1126052000,-0.989368763,0.614045359,-0.632560762,1
1126054000,-0.884297814,0.399311617,-1.013044598,1
1126055000,-1.396775177,1.07296866,-0.687162351,1
1126056500,-0.884362052,0.919775402,-0.265171625,1
1126057000,-1.591668748,1.109759155,-0.910552003,1
1126057500,-0.773688538,0.207656727,-0.26641287,1
1126058000,0.266468338,-0.205609634,-0.504571235,1
1126059000,0.773530125,-0.347923448,0.070489633,1
1126060000,-0.912266532,-0.218849683,-0.16916193,1
1126061000,-2.642550172,0.178592966,0.192769564,4
1126062000,-0.360692948,-1.218660356,0.274205492,2
1126063000,-0.028335239,-0.087428556,-0.474087526,1
1126065500,-2.004510551,0.024873005,0.773487497,4
1126066000,-2.542949862,-0.1735735,-0.25712553,4
1126068000,0.310552483,0.336245128,-0.322063374,0
1126069000,-0.366729183,-1.703671494,-0.094047896,2
1129052500,1.610982463,-1.153818237,-0.921634512,0
1129055500,3.513117514,2.070780913,-3.364323383,0
1129057500,4.300958206,-0.97843861,-0.97329957,0
1129058000,2.063917587,-0.411982976,-2.481155607,0
1129059000,2.481967734,0.516515379,-2.470756175,0
1129060000,-0.403806665,2.11947674,-0.657839961,1
1129061000,0.040382242,-0.383194416,-0.7209414,1
1129062000,0.03813256,-0.25708425,-0.3653536,1
1129063000,0.084172437,-0.828394448,-0.32688778,1
1129064000,-0.476350011,-0.118198767,-0.240655641,1
